id,title,author,cover,price,categories,sales,stock,synopsis
11,EL HIJO OLVIDADO,MIKEL SANTIAGO,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657780/proyecto13/ElHijoOlvidado_mp7jum.jpg,21.75,2,414,25,Aitor Orizaola; «Ori»; es un agente de la Ertzaintza en horas bajas. Mientras se recupera de la violenta resolución de su último caso como agente de la Ertzaintza y se enfrenta a un expediente disciplinario; recibe una mala noticia. Su sobrino Denis; que de niño fue como un hijo para él; ha sido acusado de asesinato. Pero algo huele a podrido y Orizaola; aunque ofi cialmente esté de baja; no piensa quedarse de brazos cruzados. Denis parece haber sido víctima de una extraña conspiración./Una falsa acusación; un misterioso suicidio; una poderosa familia con mucho que ocultar… Estas son algunas de las pistas que llevarán a Orizaola; a lo largo de una lectura sin tregua; en busca de un secreto que se pierde en el laberinto de caminos de la Bizkaia profunda mientras lucha por resolver el caso más importante de su vida.
12,LA ASISTENTA,FREIDA MCFADDEN,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657792/proyecto13/laAsistenta_zz9p6y.jpg,18.90,2,141,25,Todos los días friego la preciosa casa de los Winchester de arriba abajo. Recojo a su hija del colegio y preparo deliciosas comidas para toda la familia antes de subir a cenar sola en mi minúscula habitación del piso superior./Intento no prestar atención a Nina cuando lo ensucia todo simplemente para ver cómo lo limpio. A las extrañas mentiras que cuenta sobre su propia hija. A su marido; que cada día parece más abatido. Pero cuando miro a Andrew a los ojos; castaños; encantadores y llenos de dolor; no me resulta difícil imaginar cómo sería vivir en la piel de Nina. El gran vestidor; el coche de lujo; el esposo perfecto./Hasta que un día no me resisto a probarme uno de sus maravillosos vestidos blancos. Solo quiero saber que se siente. Pero ella pronto lo descubre; y cuando me doy cuenta de que la puerta de mi habitación solo se cierra por fuera ya es demasiado tarde.
13,EL PROBLEMA FINAL,ARTURO PEREZ REVERTE,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657783/proyecto13/elProblemaFinal_mfwka4.jpg,20.80,2,7458,25,Junio de 1960. Un temporal mantiene aisladas en la idílica isla de Utakos; frente a Corfú; a nueve personas alojadas en el pequeño hotel local. Nada hace presagiar lo que está a punto de ocurrir: Edith Mander; una discreta turista inglesa; aparece muerta en el pabellón de la playa. Lo que parece un suicidio revela indicios imperceptibles para cualquiera salvo para Hopalong Basil; un actor en decadencia que en otro tiempo encarnó en la pantalla al más célebre detective de todos los tiempos. Nadie como él; acostumbrado a aplicar en el cine las habilidades deductivas de Sherlock Holmes; puede desentrañar lo que de verdad esconde ese enigma clásico de habitación cerrada. En una isla de la que nadie puede salir y a la que nadie puede llegar; inevitablemente todos se acabarán convirtiendo en sospechosos en una fascinante novela-problema donde la literatura policial se mezcla de modo asombroso con la vida.
14,TODO VUELVE,JUAN GOMEZ JURADO,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657813/proyecto13/todoVuelve_oe5zbs.jpg,21.75,2,147,214,UN PLAN IMPOSIBLE/Todo lo que Aura Reyes necesita es continuar con vida diez minutos más./No es tarea fácil./Las otras son cuatro; son más fuertes y ella —una fifigura acorralada en el patio de la cárcel— nunca ha sabido defenderse demasiado bien./O tal vez sí./UNA HUIDA SIN TREGUA/Porque Aura tiene que recuperar a sus hijas. También a sus amigas./Y por eso ha trazado un plan que arranca dentro de diez minutos./Así que no./No tiene ninguna intención de morir hoy./DEJARSE ATRAPAR NO ES UNA OPCIÓN
15,ESPERANDO AL DILUVIO,DOLORES REDONDO,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657785/proyecto13/esperandoAlDiluvio_topn9w.jpg,13.25,2,477,147,Entre los años 1968 y 1969; el asesino al que la prensa bautizaría como John Biblia mató a tres mujeres en Glasgow. Nunca fue identificado y el caso todavía sigue abierto hoy en día. En esta novela; a principios de los años ochenta; el investigador de policía escocés Noah Scott Sherrington logra llegar hasta John Biblia; pero un fallo en su corazón en el último momento le impide arrestarlo. A pesar de su frágil estado de salud; y contra los consejos médicos y la negativa de sus superiores para que continúe con la persecución del asesino en serie; Noah sigue una corazonada que lo llevará hasta el Bilbao de 1983. Justo unos días antes de que un verdadero diluvio arrase la ciudad./Dolores Redondo se autodefine como «una escritora de tormentas» y con esta nueva novela; basada en hechos reales; nos conduce hasta el epicentro de una de las mayores tormentas del siglo pasado a la vez que retrata una época en plena ebullición política y social. Es un homenaje a la cultura del trabajo lleno de nostalgia por un tiempo en el que la radio era una de las pocas ventanas abiertas al mundo y; sobre todo; a la música. Y es también un canto a la camaradería de las cuadrillas y a las historias de amor que nacen de un pálpito./Una obra deslumbrante con unos personajes que nos llevan de la crueldad más espantosa a la esperanza en el ser humano.
16,UN ANIMAL SALVAJE,JOEL DICKER,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657815/proyecto13/unAnimalSalvaje_ty4qyf.jpg,22.70,2,47,500,El 2 de julio de 2022; dos delincuentes se disponen a robar en una importante joyería de Ginebra. Un incidente que dista mucho de ser un vulgar atraco. Veinte días antes; en una lujosa urbanización a orillas del lago Lemán; Sophie Braun se prepara para celebrar su cuadragésimo cumpleaños. La vida le sonríe: vive con su familia en una mansión rodeada de bosques; pero su idílico mundo está a punto de tambalearse. Su marido anda enredado en sus pequeños secretos. Su vecino; un policía de reputación irreprochable; se ha obsesionado con ella y la espía hasta en los detalles más íntimos. Y un misterioso merodeador le hace un regalo que pone su vida en peligro. Serán necesarios varios viajes al pasado; lejos de Ginebra; para hallar el origen de esta intriga diabólica de la que nadie saldrá indemne./Un thriller con un ritmo y un suspense sobrecogedores; que nos recuerda por qué; desde La verdad sobre el caso Harry Quebert; Joël Dicker es un fenómeno editorial en todo el mundo; con más de veinte millones de lectores.
17,TODO ARDE,JUAN GOMEZ JURADO,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657813/proyecto13/todoArde_f5xp7j.jpg,21.75,2,785,52,Esta es la historia de tres mujeres que lo han perdido todo./Incluso el miedo./Por eso son tan peligrosas./Esta es la historia de una venganza imposible; sin ninguna posibilidad de éxito./Esta es la historia de tres mujeres que se atreven a hacer lo que los demás sólo nos atrevemos a imaginar./Algo muy poderoso está a punto de ocurrir. /Y nada volverá a ser igual.
18,LOS ESCORPIONES,SARA BARQUINERO,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657802/proyecto13/losEscorpiones_qi4gos.jpg,22.70,2,74,500,«La novela española de mayor ambición en los últimos años. La anhedonia y el escapismode Barquinero se encuentran aquí con lo mejor de La broma infinita de David Foster Wallace y las novelas de Don DeLillo; entrecruzándose con los ecos de 2666 de Roberto Bolaño; Ottessa Moshfegh; Mariana Enriquez o Michel Houellebecq»./Elizabeth Duval/Los Escorpiones es una novela de novelas: una obra narrativa titánica y misteriosa. Los protagonistas; Sara y Thomas; se ven envueltos en el entramado de una teoría de la conspiración dirigida por los poderes políticos y económicos; que pretenden controlar a los individuos a través de la hipnosis y los mensajes subliminales en libros; videojuegos y música para inducirlos al suicidio. Ambos llevan a cuestas desequilibrios emocionales y; mientras se teje entre ellos una relación inclasificable y poderosa; deciden investigar sobre esta secta cuyo nombre es el de una de las pocas especies animales que prefiere matarse antes que seguir soportando el dolor./Desde la Italia de los años veinte; pasando por el sur profundo de Estados Unidos en los ochenta; hasta llegar a la época actual en Madrid; Bilbao; un pueblo perdido de la España rural y Nueva York; esta es una historia sobre la angustia existencial; la soledad y la necesidad de creer en algo; sea lo que sea; para encontrar el sentido a la vida./Sara Barquinero brinda una experiencia de lectura que obsesiona; inquieta y arrastra al lector hasta el final.
19,REINA ROJA,JUAN GOMEZ JURADO,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657810/proyecto13/reinaRoja_qt1lkp.jpg,33.15,2,785,24,NO HAS CONOCIDO A NADIE COMO ELLA.... NO HAS LEÍDO NUNCA UN THRILLER COMO ESTE.
20,BAJO TIERRA SECA,CESAR PEREZ GELLIDA,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657774/proyecto13/bajoTierraSeca_pouwck.jpg,21.75,2,85,52,Baixar i pujar les Rambles; la ciutat des de les altures de Montjuïc; les novel·les i els escriptors que l'han contat; el llegat d'Antoni Gaudí; un capvespre al barri Gòtic; la mirada trapella de Pepe Carvalho i els records perduts a Horta-Guinardó. L'escriptor Carlos Zanón retrata la seva ciutat més íntima; i l'artista Lara Costafreda il·lumina el costat més humà i cosmopolita d'una capital mestissa; culta; contradictòria; i amb una permanent sensació de canvi. 
21,LA ARMADURA DE LA LUZ,KEN FOLLETT,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657791/proyecto13/laArmaduraDeLaLuz_aph3lh.jpg,23.65,3,78,56,La revolución está en el aire/1792. Un gobierno tiránico está decidido a convertir Inglaterra en un poderoso imperio comercial. Mientras; Napoleón Bonaparte comienza su ambicioso ascenso al poder y; en medio de un gran descontento social; los vecinos de Francia se mantienen en máxima alerta./Kingsbridge se asoma al abismo/Las innovaciones industriales se imponen de manera implacable; sacudiendo las vidas de los trabajadores de las prósperas fábricas textiles de Kingsbridge. Se abre un mundo de nuevas y liberadoras oportunidades ligado; sin embargo; a la crueldad más despiadada. La rápida modernización con sus flamantes pero peligrosas maquinarias está dejando obsoletos muchos trabajos y desgarrando a las familias./Una nueva tiranía surge en el horizonte/Y a medida que el estallido de un conflicto internacional parece cada vez más cerca; la historia de un pequeño grupo de personas de Kingsbridge —incluidos la hilandera Sal Clitheroe; el tejedor David Shoveller y Kit; el ingenioso y decidido hijo de Sal— se convertirá en el símbolo de la lucha de toda una generación que desea progresar y pelea por un futuro sin opresión...
22,MALDITA ROMA,SANTIAGO POSTEGUILLO,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657803/proyecto13/malditaRoma_izs9kz.jpg,23.65,3,741,52,VIVE LA SAGA MÁS APASIONANTE DE LA HISTORIA./CONTINÚA EL FENÓMENO DE ROMA SOY YO; LA NOVELA MÁS VENDIDA DE 2022./Ningún escritor podría imaginar una vida como la de Julio César. Sólo Santiago Posteguillo puede escribirla./VUELVE EL AUTOR QUE NOS HACE VIVIR LA HISTORIA./«Posteguillo aporta ritmo y rigurosidad al mito de Julio César». El País/«El gran escritor español de novela histórica aborda al más genial de los hombres». El Mundo/Más de 300.000 ejemplares vendidos de Roma soy yo en España./Más de 4.500.000 ejemplares vendidos de la obra de Santiago Posteguillo./Tras el enorme éxito de Roma soy yo; la novela más vendida en España en 2022; Santiago Posteguillo retoma su gran proyecto literario; narrarla vida de Julio César; en la esperadísima segunda entrega de su saga dedicada al gran personaje de la Roma clásica.
23,LA SANGRE DEL PADRE,ALFONSO GOIZUETA,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657800/proyecto13/laSangreDelPadre_rbes1u.jpg,21.75,3,752,565,Tras el asesinato de su padre; Alejandro asciende al trono de Macedonia. Acaba de heredar no solo el título; sino también el deber de salir victorioso en la misión que le reclama su pueblo: arrebatar a los persas las tierras que una vez fueron griegas y devolverles la libertad./Sin embargo; no puede detenerse ahí; la sangre de reyes; de héroes; de dioses que corre por sus venas lo obliga a llevar a cabo una empresa mucho más ambiciosa. Quiere conquistar Babilonia; Persépolis y todas las ciudades en su camino hacia el este; hasta vencer al último rey aqueménida; el temible Darío; y acabar con el Imperio persa para siempre./Sabe que es su destino. Solo él puede lograrlo; solo él puede conquistar el mundo; solo él es Alejandro Magno.
24,ROMA SOY YO,SANTIAGO POSTEGUILLO,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657810/proyecto13/romaSoyYo_wurpls.jpg,22.70,3,4471,42,Roma; año 77 a.C. El cruel senador Dolabela va a ser juzgado por  corrupción; pero ha contratado a los mejores abogados; ha comprado al  jurado y; además; es conocido por usar la violencia contra todos los que  se enfrentan a él. Nadie se atreve a ser el fiscal; hasta que de pronto;  contra todo pronóstico; un joven patricio de tan solo veintitrés años  acepta llevar la acusación; defender al pueblo de Roma y desafiar el  poder de las élites. El nombre del desconocido abogado es Cayo Julio César./Combinando con maestría un exhaustivo rigor histórico y una capacidad  narrativa extraordinaria; Santiago Posteguillo logra sumergir al lector  en el fragor de las batallas; hacerle caminar por las calles más  peligrosas mientras los sicarios de los senadores acechan en cualquier  esquina; vivir la gran historia de amor de Julio César con Cornelia; su  primera esposa; y comprender; en definitiva; cómo fueron los orígenes del hombre tras el mito.
25,EGILONA; REINA DE HISPANIA,JOSE SOTO CHICA,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657777/proyecto13/egilona_g3ujon.jpg,20.80,3,747,25,Egilona; la última reina de Hispania; una mujer poderosa entre dos culturas; entre dos épocas; la goda y la árabe; nos fascina en esta memorable novela histórica./Don Rodrigo; duque de la Bética; vuelve a sus tierras tras verse obligado a rendir pleitesía al nuevo rey de Hispania; Witiza; el asesino de su hermano Favila. Ahora lo inteligente es bajar la cabeza; ya habrá tiempo para una venganza. Cerca de Córdoba; se detiene a descansar en una casa noble y allí ve por primera vez a Egilona; una muchacha de quince años; de melena rojiza; piel blanca y ojos ambarinos; que esa misma noche se convertirá en su mujer./Nueve años más tarde; cerca de Tarifa; las huestes del ya rey Rodrigo se aprestan a impedir la entrada en Hispania del nuevo conquistador del mundo: el imperio Omeya. Al mando de su ejército se encuentra Táriq ibn Ziyad; un liberto a quien su patrón Musa ibn Nusáir; valí de África en el nuevo orden del califato; ha enviado de incursión. Con este viejo soldado; feo; bizco y pelirrojo; curtido en mil batallas; viaja su concubina; Umm Hakim; una joven fascinante; de ojos de gacela y saberes mágicos; y Abd al-Aziz; uno de los hijos de Musa. Entrar y salir; esa es la orden. Pero; en el fragor de la batalla; Abd al-Aziz mata a Rodrigo y pone sus ojos en Egilona; la mujer más hermosa y altiva que ha visto nunca./¡Ay de sus ojos! Acaban de dar comienzo a una historia donde la hechicera y la reina cruzarán sus caminos para acabar con la historia de un imperio; y por la que Egilona; reina de Hispania; será recordada «como la mano; la mente; el espíritu poderoso que sembró la semilla de una nueva era».
26,LAS TINIEBLAS Y EL ALBA,KEN FOLLETT,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657801/proyecto13/lasTinieblasYElAlba_pyxmtt.jpg,23.65,3,745,142,Año 997; finales de la Edad Oscura. Inglaterra se enfrenta a los ataques de los galeses por el oeste y de los vikingos por el este. La vida es difícil y aquellos que ostentan algo de poder lo ejercen con puño de hierro y; a menudo; en conflicto con el propio rey./En estos tiempos turbulentos; tres vidas se entrecruzan: el joven constructor de barcos Edgar; a punto de fugarse con la mujer a la que ama; comprende que su futuro será muy diferente a lo que había imaginado cuando su hogar es arrasado por los vikingos; Ragna; la rebelde hija de un noble normando; acompaña a su marido a una nueva tierra al otro lado del mar solo para descubrir que las costumbres allí son peligrosamente distintas; y Aldred; un monje idealista; sueña con transformar su humilde abadía en un centro de saber admirado en toda Europa. Los tres se verán abocados a un enfrentamiento con el despiadado obispo Wynstan; decidido a aumentar su poder a cualquier precio.
27,LA CONDESA MALDITA,REYES MONFORTE,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657794/proyecto13/laCondesaMaldita_gzrcqi.jpg,22.70,3,741,25,Septiembre; 1907. Movido por los celos; el joven traductor ruso Nikolái Naumov dispara contra el conde Kamarowski en su palacio de Venecia al saber que contraerá matrimonio con la mujer que ama en secreto. Cuando el conde muere; la investigación policial apunta a su prometida; la condesa Tarnowska; como instigadora del crimen pasional junto con otro de sus amantes; el abogado Donato Prilukov.Tres años despues comienza el juicio más escandaloso de la epoca; un proceso que sacudió los cimientos de la sociedad; revolucionó la prensa y cambió el sistema legal judicial admitiendo el psicoanálisis freudiano. Señalada como la primera femme fatale del siglo XX surgen dudas: ¿es la condesa culpable o inocente? ¿Víctima o verdugo? No hay crimen sin historia. La condesa malditanarra los días de una mujer arrolladora que coleccionó amantes; desafió los tabúes más ferreos del momento y nunca renunció a su libertad.
28,EL MAESTRO DE AZÚCAR,MAYTE UCEDA,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657782/proyecto13/elMaestroDelAzucar_cwes0o.jpg,20.80,3,244,25,Norte de España; 1895: dos mujeres abandonan la apacible villa de Colombres para viajar a la lejana isla de Cuba. Sus motivos no pueden ser más distintos./Mar; la hija del medico del pueblo; emprende la travesía siguiendo a su padre; encargado de dirigir un consultorio en una plantación de azúcar llamada Dos Hermanos./Paulina; viuda demasiado joven y de origen humilde; se ve obligada a embarcar para contraer matrimonio con el prestigioso maestro de azúcar de la hacienda; un hombre a quien no conoce./La primera sueña con ser medico; la segunda se pregunta si será feliz con su inminente esposo./Dos jóvenes unidas por el mismo destino; que emigran por amor y lealtad a la familia. Una isla exótica que oculta bajo su luz antiguos odios y venganzas. Todo ello a las puertas de la Guerra Necesaria; que dará a Cuba su independencia.
29,EN LA TERCERA EL FRANCES,FEDERICO SUPERVIELLE BERGES,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657785/proyecto13/EnLaTerceraElFrances_dju4vl.jpg,20.80,3,784,147,Hay muy pocas batallas que; de haberse resuelto de forma distinta; hubieran cambiado radicalmente la historia del mundo./En 1582; la guerra de sucesión portuguesa ofreció a Francia la oportunidad de disputar el dominio español del Atlántico. El control extranjero de las Azores habría supuesto el fin del comercio seguro con las Indias; la caída del imperio americano y la quiebra absoluta de la hacienda española./Cuando don Çlvaro de Bazán; heroe de Lepanto; Orán y Malta; llega a la isla de Tercera; no solo sabe todo esto; sino que es consciente de que el enemigo le dobla en número. Solo su astucia; el arrojo de sus soldados y la valentía de sus marineros pueden salvar doscientos años de imperio y dar al marques de Santa Cruz la gloria que Lope de Vega glosó:El fiero turco en Lepanto;en la tercera; el frances;y en todo el mar el ingles;tuvieron de verme espanto.
